ID,Species,DBH [cm],D [m],a [deg],SOC,# of rings,Aprox. Age of Tree at BH
A01,Larch,22.2,4.3,76.4,Domin,81,81
A02,Black spruce,12.9,4.5,66.1,Co-Domin,122,122
A03,Black spruce,9.2,4.7,56.7,Sub-Domin,115,115
A04,Black spruce,9.4,4.7,61.2,Co-Domin,102,102
A05,Black spruce,8.8,3.3,67.4,Sub-Domin,99,99
A06,Black spruce,6.5,3.8,64.3,Domin,110,114
A07,Black spruce,7.5,4.1,65.1,Domin,91,91
A08,Black spruce,9.0,2.8,71.4,Domin,98,98
A09,Black spruce,9.5,2.0,79.3,Domin,79,79
A10,Black spruce,9.7,2.2,73.3,Co-Domin,121,121
A11,Black spruce,11.2,2.1,77.5,Domin,108,111
A12,Black spruce,6.3,2.3,72.1,Domin,93,93
A13,Black spruce,12.4,3.3,68.1,Domin,120,120
A14,Black spruce,11.0,3.6,68.1,Domin,116,116
A15,Black spruce,9.5,1.8,76.8,Domin,105,105
A16,Black spruce,11.2,3.3,72.3,Domin,92,92
A17,Black spruce,9.6,4.6,62.6,Domin,102,102
A18,Black spruce,8.7,4.7,55.4,Sub-Domin,97,97
A19,Black spruce,9.0,3.8,62.3,Domin,105,105
A20,Black spruce,9.0,4.9,71.1,Domin,117,117
A21,Black spruce,12.0,1.1,78.6,Domin,97,97
A22,Black spruce,7.3,2.1,70.5,Co-Domin,93,93
A23,Black spruce,11.0,4.0,64.1,Domin,103,103
A24,Black spruce,7.5,0.9,85.7,Domin,110,110
A25,Black spruce,8.3,1.3,81.7,Domin,98,99
A26,Black spruce,10.5,2.1,74.0,Domin,106,106
A27,Black spruce,9.9,4.4,66.5,Domin,105,105
A28,Black spruce,8.0,4.6,50.6,Sub-Domin,54,54
A29,Black spruce,9.9,4.6,62.9,Domin,111,111
A30,Black spruce,9.1,4.7,60.7,Domin,94,94
A31,Black spruce,7.5,4.9,52.0,Co-Domin,86,86
A32,Black spruce,14.1,3.7,70.4,Domin,111,111
A33,Black spruce,6.5,4.4,56.5,Co-Domin,113,113
A34,Black spruce,8.3,4.4,61.4,Co-Domin,111,112
A35,Black spruce,8.7,4.7,60.4,Co-Domin,104,104
A36,Black spruce,7.1,3.0,66.8,Domin,85,85
A37,Black spruce,6.6,3.4,56.1,Co-Domin,91,91
A38,Black spruce,8.5,4.8,53.1,Domin,111,111
A39,Black spruce,14.1,4.1,67.6,Domin,107,107
A40,Black spruce,8.3,4.7,58.6,Co-Domin,102,102
A41,Black spruce,6.5,4.3,51.8,Co-Domin,101,101
A42,Black spruce,9.4,4.3,61.4,Domin,98,98
A43,Black spruce,9.4,1.6,81.0,Domin,116,116
A44,Black spruce,8.8,2.3,73.4,Co-Domin,115,115
A45,Black spruce,12.7,2.3,76.5,Domin,117,117
A46,Black spruce,9.6,2.5,70.2,Co-Domin,114,114
A47,Black spruce,10.2,4.9,60.4,Domin,107,110
A48,Black spruce,7.5,4.5,56.8,Domin,86,89
A49,Black spruce,6.0,4.7,49.9,Co-Domin,95,95
A50,Black spruce,8.0,5.0,55.0,Domin,102,102
A51,Black spruce,6.7,4.2,54.7,Co-Domin,104,104
A52,Black spruce,11.4,4.6,66.6,Domin,101,101
A53,Black spruce,6.5,2.6,64.6,Domin,102,104
A54,Black spruce,8.5,4.0,61.0,Domin,110,110
A55,Black spruce,10.4,4.6,57.3,Domin,113,113
A56,Black spruce,8.4,3.6,64.9,Domin,95,95
A57,Black spruce,8.7,3.9,58.6,Co-Domin,105,105
A58,Black spruce,7.4,4.2,56.2,Sub-Domin,105,105
A59,Black spruce,5.7,5.0,53.9,Co-Domin,101,107
A60,Black spruce,6.0,3.1,48.7,Sub-Domin,94,99
